Designator,Footprint,Quantity,Value,LCSC Part #
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
R8,R_0603_1608Metric,1,1K,
R7,R_0603_1608Metric,1,1K,
R6,R_0603_1608Metric,1,1K,
R5,R_0603_1608Metric,1,1K,
R4,R_0603_1608Metric,1,1K,
R3,R_0603_1608Metric,1,1K,
R2,R_0603_1608Metric,1,1K,
D2,LED_0402_1005Metric,1,LED,
C1,C_1206_3216Metric,1,C,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Female,
D1,LED_0402_1005Metric,1,LED,
R1,R_0603_1608Metric,1,1K,
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,
